,ind,company,pct,Mean Return,Ret_bracket,Variance,Vol_bracket,Volatility,portfolio,key,is_optimal
27040,9013,AMD,0.03,0.0268488871719,0.027,0.0137931744603,0.117,0.117444346225,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9013",1.0
27041,9013,CLDX,0.01,0.0268488871719,0.027,0.0137931744603,0.117,0.117444346225,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9013",1.0
27045,9015,AAPL,0.97,0.0269674224368,0.027,0.0138570390066,0.118,0.117715925034,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9015",1.0
27046,9015,AMD,0.02,0.0269674224368,0.027,0.0138570390066,0.118,0.117715925034,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9015",1.0
27047,9015,CLDX,0.01,0.0269674224368,0.027,0.0138570390066,0.118,0.117715925034,AAPL_AMD_CLDX,"AAPL, AMD, CLDX 9015",1.0
33786,11262,AAPL,0.29,0.00885328848442,0.009,0.00510469322951,0.071,0.0714471359084,AAPL_AMD_GE,"AAPL, AMD, GE 11262",1.0
33787,11262,AMD,0.01,0.00885328848442,0.009,0.00510469322951,0.071,0.0714471359084,AAPL_AMD_GE,"AAPL, AMD, GE 11262",1.0
33788,11262,GE,0.7,0.00885328848442,0.009,0.00510469322951,0.071,0.0714471359084,AAPL_AMD_GE,"AAPL, AMD, GE 11262",1.0
34686,11562,AAPL,0.34,0.0101679935803,0.01,0.00525178107107,0.072,0.0724691732467,AAPL_AMD_GE,"AAPL, AMD, GE 11562",1.0
34687,11562,AMD,0.01,0.0101679935803,0.01,0.00525178107107,0.072,0.0724691732467,AAPL_AMD_GE,"AAPL, AMD, GE 11562",1.0
34688,11562,GE,0.65,0.0101679935803,0.01,0.00525178107107,0.072,0.0724691732467,AAPL_AMD_GE,"AAPL, AMD, GE 11562",1.0
35217,11739,AAPL,0.37,0.0109568166379,0.011,0.0053763690244,0.073,0.0733237275675,AAPL_AMD_GE,"AAPL, AMD, GE 11739",1.0
35218,11739,AMD,0.01,0.0109568166379,0.011,0.0053763690244,0.073,0.0733237275675,AAPL_AMD_GE,"AAPL, AMD, GE 11739",1.0
35219,11739,GE,0.62,0.0109568166379,0.011,0.0053763690244,0.073,0.0733237275675,AAPL_AMD_GE,"AAPL, AMD, GE 11739",1.0
35745,11915,AAPL,0.4,0.0117456396954,0.012,0.00552820841403,0.074,0.0743519227326,AAPL_AMD_GE,"AAPL, AMD, GE 11915",1.0
35746,11915,AMD,0.01,0.0117456396954,0.012,0.00552820841403,0.074,0.0743519227326,AAPL_AMD_GE,"AAPL, AMD, GE 11915",1.0
35747,11915,GE,0.59,0.0117456396954,0.012,0.00552820841403,0.074,0.0743519227326,AAPL_AMD_GE,"AAPL, AMD, GE 11915",1.0
36063,12021,AAPL,0.42,0.0122715217338,0.012,0.00564457436062,0.075,0.075130382407,AAPL_AMD_GE,"AAPL, AMD, GE 12021",1.0
36064,12021,AMD,0.01,0.0122715217338,0.012,0.00564457436062,0.075,0.075130382407,AAPL_AMD_GE,"AAPL, AMD, GE 12021",1.0
36065,12021,GE,0.57,0.0122715217338,0.012,0.00564457436062,0.075,0.075130382407,AAPL_AMD_GE,"AAPL, AMD, GE 12021",1.0
36516,12172,AAPL,0.45,0.0130603447913,0.013,0.00584183281075,0.076,0.0764318834699,AAPL_AMD_GE,"AAPL, AMD, GE 12172",1.0
36517,12172,AMD,0.01,0.0130603447913,0.013,0.00584183281075,0.076,0.0764318834699,AAPL_AMD_GE,"AAPL, AMD, GE 12172",1.0
36518,12172,GE,0.54,0.0130603447913,0.013,0.00584183281075,0.076,0.0764318834699,AAPL_AMD_GE,"AAPL, AMD, GE 12172",1.0
36819,12273,AAPL,0.47,0.0135862268297,0.014,0.00598847813101,0.077,0.0773852578403,AAPL_AMD_GE,"AAPL, AMD, GE 12273",1.0
36820,12273,AMD,0.01,0.0135862268297,0.014,0.00598847813101,0.077,0.0773852578403,AAPL_AMD_GE,"AAPL, AMD, GE 12273",1.0
36821,12273,GE,0.52,0.0135862268297,0.014,0.00598847813101,0.077,0.0773852578403,AAPL_AMD_GE,"AAPL, AMD, GE 12273",1.0
37083,12361,AAPL,0.49,0.014112108868,0.014,0.00614723520073,0.078,0.0784043060089,AAPL_AMD_GE,"AAPL, AMD, GE 12361",1.0
37084,12361,AMD,0.01,0.014112108868,0.014,0.00614723520073,0.078,0.0784043060089,AAPL_AMD_GE,"AAPL, AMD, GE 12361",1.0
37085,12361,GE,0.5,0.014112108868,0.014,0.00614723520073,0.078,0.0784043060089,AAPL_AMD_GE,"AAPL, AMD, GE 12361",1.0
37356,12452,AAPL,0.51,0.0146379909064,0.015,0.00631810401992,0.079,0.0794865021241,AAPL_AMD_GE,"AAPL, AMD, GE 12452",1.0
37357,12452,AMD,0.01,0.0146379909064,0.015,0.00631810401992,0.079,0.0794865021241,AAPL_AMD_GE,"AAPL, AMD, GE 12452",1.0
37358,12452,GE,0.48,0.0146379909064,0.015,0.00631810401992,0.079,0.0794865021241,AAPL_AMD_GE,"AAPL, AMD, GE 12452",1.0
37497,12499,AAPL,0.52,0.0149009319256,0.015,0.00640808033556,0.08,0.0800504861669,AAPL_AMD_GE,"AAPL, AMD, GE 12499",1.0
37498,12499,AMD,0.01,0.0149009319256,0.015,0.00640808033556,0.08,0.0800504861669,AAPL_AMD_GE,"AAPL, AMD, GE 12499",1.0
